id,label,obsolete
"string","label.dynf.type.string","0"
"integer","label.dynf.type.integer","0"
"double","label.dynf.type.double","0"
"boolean","label.dynf.type.boolean","0"
"date","label.dynf.type.date","0"
"blob","label.dynf.type.blob","0"
